Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,46.84021273,62.46491805,97.24998091,135.1989049,146.7305319
2,46.84021273,62.46491805,97.24998091,135.1989049,146.7305319
3,62.31607305,84.66144633,126.3386856,172.0268958,207.3697932
4,68.66143045,93.13174755,141.2148611,213.5712563,245.6062393
5,64.78825902,91.13190102,137.6206993,188.0974412,218.4071182
6,66.6614734,90.05972076,135.6347265,198.3462698,227.3966504
7,69.78794114,89.07630374,134.8096526,170.7937144,178.9388587
8,63.5152054,84.86670524,116.9618657,165.9884747,186.5890834
9,67.50458743,91.13352725,135.2843544,175.0321009,197.1320116
10,71.43467548,96.93735519,124.3093289,145.3795951,152.5601996
11,69.10790304,92.74159875,122.7261272,143.020985,158.3356291
12,75.64997876,99.46332106,127.4782894,181.4275206,191.5085604
13,77.38455483,99.36515567,140.0178534,181.8156062,238.4129574
14,68.31988528,84.86697183,121.889261,140.5891311,150.7240909
15,67.70147135,89.64414469,123.459861,183.2428566,197.5969537
16,71.46452892,87.59947418,129.4780292,183.2409987,203.429032
17,70.05724448,86.13385546,119.6166283,163.2501679,205.1215312
18,73.28825719,93.30229571,124.9631254,179.4345814,192.5954065
19,59.36194113,80.70495082,115.4571424,154.5828992,168.8820062
20,68.82980581,82.68912548,109.7798357,155.5703315,163.8052156
21,64.23232533,81.56287329,115.9419477,145.1470364,165.9837671
22,67.55770041,91.50044667,131.081809,162.0338207,173.7779069
23,64.40116195,88.39954645,118.2490038,173.4213217,194.1020619
24,63.06211748,78.91854606,108.0288711,149.8402059,168.1202037
25,59.9151208,83.07261197,106.6400588,148.2250743,160.5958365
26,61.0652951,80.53973205,108.0819827,145.2560305,160.2794555
27,62.60097702,79.06877384,115.7677888,142.4874736,154.2232122
28,61.23014112,75.42962752,102.9342817,140.8958205,160.9962815
29,59.6215872,74.40125004,105.1572943,127.5208553,144.7552763
30,59.27681408,77.24844179,104.0443096,144.9838621,156.3945723
31,65.50753337,78.64798925,115.7270327,150.3847045,171.2359318
32,59.97577963,74.92111514,104.6927413,154.5254801,170.0214796
33,62.33855034,78.31914533,107.2192593,155.605835,174.6824352
34,59.41267836,75.56546742,107.1700031,137.4308036,152.8966222
35,63.38808239,79.30680882,108.9370197,157.9403289,167.9317806
36,58.17647874,73.06425476,100.7994041,133.9598621,149.7425277
37,62.90928629,78.51143826,109.4069164,132.2335734,142.5053036
38,57.71688188,71.8575181,105.3178266,126.8979622,183.9366854
39,62.92242499,74.79974678,96.39978706,126.4036003,146.4224098
40,57.4725005,71.38142422,93.86741725,127.5872756,138.0097743
41,55.61059133,70.07027909,101.1168533,130.6762822,144.7432845
42,54.76596401,69.56731441,97.28625621,133.811016,145.5358119
43,56.83640406,72.39608516,99.54592654,134.4787731,183.3702952
44,58.6129118,72.44879607,95.30916964,129.4179428,140.4871015
45,56.13254437,70.59919355,99.09714442,128.7712802,147.2086959
46,57.59392537,69.93517702,99.23348898,132.9822857,148.1628822
47,55.65672221,72.16137202,100.1747272,146.1909326,162.0982872
48,59.63039923,74.34840021,103.3011611,128.6178733,150.0711644
49,57.62309126,72.64060922,105.5455235,148.4641923,184.4535235
50,57.55783775,69.17005982,95.36410758,130.1256683,144.7991017
51,54.37307934,69.38187187,96.41223783,121.7962657,148.5668759
52,54.66966268,67.87823249,91.54195016,121.3771598,137.0117838
53,57.77409341,72.55210143,104.7809943,140.256543,162.0870487
54,57.76247647,73.25410545,100.0633325,130.8830352,152.0801045
55,56.51559901,69.3619025,101.2273006,128.7596247,142.7333325
56,54.03042027,67.47978404,96.70698407,126.7631175,203.8631175
57,53.37493526,68.3534621,97.42950702,132.5798023,144.7288942
58,58.94204419,73.83283218,104.7531881,150.3108211,165.962268
59,58.88963795,70.34566181,95.10089838,132.2810132,143.5157633
60,59.12852694,74.06592312,105.0916677,142.11024,151.2184752
61,54.79010973,67.84529847,92.79012004,119.9358358,133.5283189
62,60.85883317,71.74965122,101.7993225,132.2704541,155.2913741
63,56.38055209,69.98992781,101.1548995,131.0942709,142.1485991
64,56.8374173,70.49820025,93.65510475,125.7827214,139.4303914
65,63.98527762,78.0562,102.5459896,130.0519394,136.3368586
66,54.70713742,69.34808128,95.37743678,126.300615,148.7711016
67,63.78804993,78.1581172,108.3875682,154.7439418,165.8775878
68,56.46168952,70.7523587,94.21320442,121.5907039,143.4169728
69,60.27859389,75.85855788,105.6124748,130.6781115,143.9434074
70,54.4179904,68.23595216,90.76190853,118.2698474,133.069111
71,55.26783543,70.41153301,95.3512378,125.7074479,148.9766146
72,56.03136206,66.49057596,92.07060814,129.8261148,144.1445591
73,57.87138434,70.123103,91.80202159,115.5294427,125.0597362
74,56.41654888,67.62787035,92.22516554,122.9983433,156.6620704
75,55.27272748,68.37209991,95.20907633,131.3582704,146.4026919
76,54.24441234,68.52846158,94.6929393,125.1218217,140.5040898
77,53.7178328,63.23285438,86.63637511,110.693565,132.686033
78,55.25465356,68.63390878,93.26051352,119.1606767,128.9679207
79,53.22776507,69.67085968,90.39147033,126.138772,144.1094026
80,56.22060791,70.59682909,103.9300875,135.827967,145.4340565
81,53.52252384,68.30597951,92.67570672,122.3704997,134.371978
82,54.91141183,67.15319093,91.24386577,116.961462,127.4248052
83,52.84822227,65.56689576,92.64297991,117.8574034,127.2783686
84,54.04200853,66.48831812,88.68636506,122.8861403,138.660145
85,52.18074542,66.00172397,91.99995359,117.5838446,134.9274746
86,52.92260436,68.99876011,91.87880344,122.2160987,133.5477536
87,53.49826914,66.27581026,90.31922252,123.987856,142.533169
88,52.83723343,67.59581811,95.52384946,115.7498742,131.5339064
89,54.59964225,64.92806081,86.24177126,113.366516,125.1341848
90,50.73714429,65.59035335,87.88254153,127.5510665,140.3709315
91,49.44908502,63.51385309,86.04139447,112.8388845,127.4440557
92,50.25582108,63.73834736,89.09415692,117.205218,129.5440048
93,52.46910462,65.80931342,94.42998526,123.3663238,138.5518807
94,51.20459639,64.20755737,87.31623337,121.5212261,146.1279339
95,52.05766681,63.34975715,89.82048246,126.4970654,141.5253352
96,50.96102755,64.27671743,91.14456038,117.7270642,129.122894
97,52.75091965,66.79578611,94.02449027,122.9188352,133.5071295
98,50.41776498,62.34865493,91.29491185,124.9280643,135.2667618
99,49.33114011,61.16429105,82.2691814,101.7000874,119.6265362
100,50.63427221,62.03500814,87.67048639,125.1082262,138.7639132
101,51.44231066,64.34668254,88.19030163,110.2326856,134.4068226
102,55.68923593,67.14022449,90.42346706,114.3053809,131.5756336
103,57.35166506,73.40442384,91.54769253,115.5963269,122.4330438
104,54.64757786,67.82886018,90.90084808,122.6427557,135.8990627
105,53.82055899,68.90923175,92.16033438,116.2412568,136.623355
106,53.18562195,65.95897762,93.80713675,137.4584392,149.6140375
107,54.07610263,66.55889373,90.47075535,122.896057,137.9065123
108,52.45889301,61.16497755,82.77327253,101.7877966,110.2697236
109,51.7114314,65.62795588,91.57415065,116.0830835,127.9315071
110,56.21539416,69.56067485,102.1303199,147.5955671,156.7471394
111,52.38889858,66.95302048,91.81032122,110.5173674,129.9162016
112,54.73807511,66.49191072,87.527277,122.4982765,147.6126871
113,50.65224399,65.4870187,90.85519972,117.1634096,138.8627457
114,55.59679022,65.38174766,90.48857346,112.6106042,128.1040273
115,54.26100329,67.6477909,96.20903593,129.4109126,149.0671207
116,55.51238127,69.17503043,102.8866839,129.4884367,142.0251164
117,51.48083534,66.19942674,92.7556802,115.9108122,133.2169313
118,53.8891162,65.25546254,89.10714946,126.8157016,156.9844088
119,52.02573963,64.10666212,85.74609933,115.0456542,129.0603064
120,51.59968141,63.16110386,85.80647865,114.5296705,133.0764955
121,51.63173263,68.40769337,96.64940703,117.3831307,138.2454801
122,53.07937318,66.14129991,92.2923435,116.9066576,129.9995644
123,51.83107649,62.31377001,92.76160394,114.753575,121.8977708
124,51.10086216,62.60452074,87.73815262,115.8136422,124.6963472
125,54.19233154,66.17070149,90.47414879,120.7369244,141.8873079
126,50.81610254,63.73584463,92.3040926,124.5287474,142.9830279
127,52.42473746,64.20478859,95.23663547,129.7776711,156.4136656
128,49.00220495,62.55715105,90.48964487,117.6321332,140.7088886
129,53.88286955,67.70230739,94.67423325,117.7271039,135.3345561
130,49.34792225,60.38731404,82.71340796,116.500431,132.346153
131,50.39057337,63.23481423,87.1295417,116.0863101,128.7617676
132,50.35532814,61.90776464,88.11119235,108.7883677,117.4294297
133,49.41770826,61.81362144,87.39810553,118.5249402,132.9832436
134,48.36522026,62.18215699,86.38004065,121.4538852,130.6299705
135,50.64496777,63.8946379,84.71716124,108.5871701,129.7900248
136,50.75315613,62.60944637,85.55500067,113.1074765,130.7129236
137,49.56562417,62.65115447,87.66068825,114.857053,133.9834905
138,48.14913857,60.51955828,80.13541443,109.4524822,121.9744457
139,48.31219331,61.19105711,83.02603459,111.2904636,127.631314
140,48.93591982,61.04851092,86.21205021,120.8456053,143.1693845
141,47.53402187,59.40459811,80.52228743,112.1897501,125.4473066
