Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,28.7951991,41.13465218,65.62353187,88.35924123,92.23175312
2,45.33047021,61.10088842,84.08904466,122.5210296,134.4345187
3,55.03161097,69.12705534,93.37969361,124.910061,140.178773
4,52.2921325,68.15695759,109.5235016,149.0889136,157.5749184
5,51.53130416,67.16305223,101.1550168,141.2191341,151.0349402
6,56.55395923,69.39165375,101.2276713,129.8005818,151.197362
7,54.53614295,75.02978648,112.1463531,166.6808903,196.3792966
8,57.25619139,73.6279425,115.4423955,148.8038992,156.9252726
9,53.64487882,71.78414978,101.7448775,135.1737155,153.4234262
10,54.42438424,70.17519635,95.3417667,122.0438937,140.1891044
11,53.39209339,68.85860479,94.46603921,131.757758,158.3765397
12,61.57863676,74.76867013,110.6325125,157.1283669,176.0790027
13,54.06488654,70.82726348,111.0233081,148.0090718,166.8828102
14,58.80891691,77.52587963,110.5415558,139.4834464,163.1316488
15,56.330788,70.13811285,99.83959917,139.5529249,182.6114916
16,59.48319103,75.42300535,105.8640754,133.9435131,183.3428103
17,57.33306974,72.9518895,97.65683613,137.6254921,170.0794406
18,55.9711886,78.115249,107.425985,155.428189,191.0417592
19,58.11723248,72.99535298,102.666177,141.3252109,159.5166409
20,57.65387291,75.71592275,107.5731624,143.9939707,161.4342343
21,53.81833816,68.2255584,96.41597864,131.0215976,143.7145034
22,57.72996585,70.96005104,100.9352525,135.5367989,153.9497168
23,55.84239137,74.05788606,99.31053726,140.9504527,157.4429338
24,57.01257203,70.09230918,99.94730064,139.0732723,158.229417
25,59.88910795,73.24426954,104.3991345,145.8217964,162.9089134
26,55.28889609,70.06132666,99.18532488,136.7031838,153.9650731
27,59.21534445,72.47106063,98.8810426,125.16251,138.2739401
28,53.99689831,67.7692111,95.36452052,125.8093295,150.4207663
29,58.97773055,74.1909222,103.2425819,131.8391374,158.306627
30,53.74561605,68.1270061,94.69915126,123.5667575,146.8245209
31,57.47607703,73.71919191,102.9613307,145.5869744,165.1067271
32,52.15929995,65.49031282,89.53630661,124.4022589,150.734526
33,52.76336032,68.66960951,95.30497859,134.7376049,153.6347794
34,56.14711919,69.4288376,95.99546577,124.9693042,148.8349991
35,55.74664939,73.19079264,104.0279669,132.5843027,146.6348368
36,61.76896663,80.11932733,101.5743024,132.776687,159.7454929
37,66.23118407,78.12170825,103.6387163,144.1164933,152.503575
38,59.15922889,70.63550634,93.84855848,111.770697,117.7619204
39,66.27593987,86.01351812,105.9876806,139.3572664,147.4590377
40,55.53176461,67.66180061,90.41312046,114.7684118,124.4276328
41,64.18278118,82.69295174,108.7249515,124.9628411,144.3058856
42,61.52993172,71.48129839,98.56764802,128.4147579,140.4824527
43,59.28052343,70.33590534,98.50951974,128.8573169,141.8897545
44,57.28442445,72.06495217,106.825273,142.05353,152.4505931
45,59.93824789,72.31724755,102.4553251,134.4245828,158.9727098
46,68.84382695,79.03763392,116.4197725,136.4954213,141.1265785
47,61.07880216,74.39251595,102.4446826,141.0485357,174.5446076
48,64.93570169,80.61110367,119.2095915,147.5370444,155.1977195
49,54.51031071,69.1988621,95.83443392,129.5715488,145.369288
50,65.78683214,77.34421323,108.9080996,147.546505,160.7958451
51,53.26042945,66.13528178,90.02420906,121.1978918,136.3736248
52,61.45528783,75.83598359,104.3851781,128.653824,139.8438641
53,58.81664945,73.42633631,103.3772104,128.2191498,156.2286755
54,59.54772575,72.03604467,99.33059061,125.6126259,159.035138
55,58.34735711,71.09329225,94.93493897,130.0328902,159.4944687
56,55.65882613,68.87618454,96.15056246,144.2136322,182.5543838
57,58.06720985,73.99143289,101.8467998,125.5478074,142.1201906
58,55.06312335,67.68321525,94.65220327,131.0138594,156.9551343
59,57.23183677,72.64924535,101.0132337,136.8999092,153.2225413
60,57.15410011,71.88334137,101.3287224,140.2869773,162.5024019
61,61.34477401,75.63182576,115.3054078,150.1204468,173.4277992
62,54.8574378,69.76660537,95.50861482,136.2184356,162.89578
63,59.10057762,71.04070538,99.55960222,143.728843,165.2276154
64,55.05199765,67.81074394,92.69270754,129.6267699,154.5376251
65,56.71286374,71.05888506,96.20596646,129.8119534,149.9029476
66,53.47701481,66.53884628,90.76476039,121.314889,137.3340024
67,56.31203939,70.17498035,94.51648319,126.912248,145.0819997
68,55.09563929,67.67787274,90.90760928,126.0802325,143.5065228
69,56.48064164,70.30264475,97.99388756,129.823997,152.9493491
70,54.48209566,67.09031188,92.6747613,123.7892363,156.6556678
71,56.8400593,68.89847884,96.72878666,143.1034274,182.8501169
72,57.93744626,68.8495726,91.33703492,122.7799155,137.3071496
73,55.0907674,69.80290664,99.07205264,135.6845468,167.2766998
74,54.29228466,65.84968984,92.04869506,133.0786007,157.3091526
75,54.74504998,66.81826166,93.71214434,130.7876083,147.239199
76,54.96772474,67.59713371,91.8334985,133.725066,150.511465
