Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,47.66695317,61.35253673,86.01190949,152.8488052,166.719175
2,76.47853314,114.9651697,138.9557529,148.6112272,151.8765138
3,74.40841815,96.29589136,142.5705697,169.6116635,174.5886233
4,71.06281548,92.90125338,123.6992784,165.6807537,170.9031496
5,69.52877024,87.49436336,132.9162194,168.1933493,176.3309982
6,78.97183454,104.89047,130.9067286,205.4516179,213.7024763
7,78.63209858,100.9420414,141.2661793,181.392614,190.8102974
8,84.20845661,102.5648914,195.6285885,216.6366845,222.9051883
9,75.81095443,103.855115,157.7707357,177.5239743,192.6738816
10,70.60223833,96.00672458,140.4849747,175.9743104,182.7720396
11,78.44656037,89.06926227,117.3770628,165.0605493,171.1824582
12,73.29816552,95.55922444,134.2928924,157.540216,161.4982924
13,93.52517915,102.3534718,136.7906733,155.6158179,165.1091878
14,78.78114098,93.64381977,124.6670697,155.3457331,220.1938738
15,75.18564178,89.65168622,111.9312826,142.7847647,149.1073854
16,71.97326278,86.48187259,115.1140039,143.0239287,149.8716271
17,77.18648092,98.43095226,129.3364201,151.7983761,162.1701923
18,77.34235026,92.94365331,114.6684497,170.2797965,188.5181783
19,69.50027008,91.69167119,122.7933399,135.4852712,189.9348682
20,75.43377642,85.83881918,107.4249706,142.9836783,150.7611001
21,81.18258948,92.2575338,144.5591972,156.0613384,159.6263727
22,79.45476357,96.32962649,149.2241603,197.774074,202.1435096
23,76.81514271,88.45164293,124.9379076,131.5746787,132.5391885
24,66.13438639,82.52675658,116.3524158,159.4277366,162.7429456
25,69.16002902,85.73155013,103.9367573,112.9267296,114.045613
26,67.44016032,82.88177574,180.7009743,188.0284377,190.4621313
27,48.90393683,95.07683462,122.7001282,127.508977,129.1047811
28,89.49238232,91.11726081,97.064077,111.6270185,113.9310907
29,56.14862498,67.02664245,103.9154981,136.8282447,139.1197472
30,53.51582609,76.14428719,106.9521955,133.7597796,136.5674715
31,77.79570858,112.4228559,125.9828711,137.8690979,140.4704821
32,66.95716545,77.70204349,102.9729272,122.704429,127.4721389
