Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,22.67440683,31.87266374,53.45755339,76.63300366,101.5763172
2,35.08526487,50.33793395,82.49312454,113.814418,124.9938518
3,48.22926018,67.94613592,106.9654913,163.039369,186.2307953
4,57.49470691,81.16163379,125.9584284,166.4405466,180.3159312
5,61.13610832,86.26832463,128.5471089,173.7818966,188.5743482
6,60.95561999,86.41347743,126.910795,174.9568767,192.0986731
7,62.93156114,87.17066283,121.7684496,168.8628193,184.4786538
8,68.32547576,89.4712329,133.6749996,185.6772709,234.4970969
9,69.27925724,89.12554981,134.0311535,165.0927804,201.4699208
10,65.63610201,84.89572179,124.1704357,169.1507491,197.9281585
11,70.20208406,89.90148042,134.0582753,192.6055838,222.4519982
12,65.84770671,88.1056521,132.2592292,180.3530334,196.4963609
13,61.64020909,87.53262149,131.0446604,168.9179963,184.9236166
14,61.7332606,82.10979328,120.7716728,162.2232437,188.0377528
15,61.83430776,85.43526691,124.2340338,161.6354316,191.476276
16,61.94976113,79.80382193,112.6618777,145.0682755,165.4416714
17,62.5928239,82.15121069,126.4291846,182.0966274,203.8422215
18,65.90425627,86.27637051,119.7972958,176.7116041,193.6272178
19,60.82337869,79.49480318,114.1590847,144.2616768,170.3240323
20,62.53758567,82.28910388,119.6558698,151.4687149,178.3722876
21,59.45449659,77.57022524,111.1308988,154.3015904,189.2683344
22,65.35093097,80.64945848,116.1422494,162.8219664,177.7240392
23,59.68007095,76.56624658,107.3402726,145.2509404,170.5267287
24,59.78912588,77.11545099,118.5694766,168.7660842,213.7576731
25,59.60406082,78.61843759,115.1962452,185.9891197,266.59484
26,61.77391737,82.97718399,110.7453739,155.391871,180.3599302
27,60.34824033,78.51061479,114.4325019,151.4174814,193.4274246
28,57.51218126,74.65484641,105.9031431,145.8173847,163.1079139
29,59.11254709,75.00671067,107.746848,149.0180117,168.8129736
30,59.44957767,75.90010974,111.3111528,153.4678688,182.0442195
31,59.03676725,77.4488793,108.5193433,142.3795975,158.6094218
32,57.02773336,72.12755269,103.0062564,149.9495116,185.2143413
33,57.33289037,74.35137303,101.3612988,132.988499,171.3897612
34,56.63789385,73.91871058,107.2197341,152.701633,195.1766314
35,56.47182892,73.80671201,104.8130579,149.4001512,181.1878785
36,55.50985231,72.03269817,102.9067013,141.3526522,172.8052882
37,57.28441429,74.272909,106.0870482,140.4304719,156.6105216
38,54.01017107,69.80226385,99.9929004,132.3396573,150.1571542
39,54.5745112,72.42364268,105.6586662,148.9063415,171.1352866
40,51.66605512,66.93092066,96.14841664,128.1426477,155.7955867
41,56.15359405,73.08072496,101.2758126,140.7968205,176.9277552
42,54.59981092,71.24590565,103.9895057,146.0212942,175.422426
43,54.27391524,69.47755001,98.82458013,142.0418644,176.0313965
44,54.90522608,69.94530753,100.8726891,134.3455917,157.0448657
45,52.43885634,67.81120565,99.70537139,144.6112746,173.7457931
46,54.10701944,68.9435749,100.9997448,135.6830066,155.5868402
47,51.04418364,67.0267523,94.25916877,131.0424658,149.9441342
48,52.4577557,67.91763091,96.61334343,131.2375519,146.8694324
49,51.96212507,68.61504958,94.52927586,129.5855225,170.4150083
50,52.26220255,67.16345695,95.39513188,124.2189007,138.9065949
51,55.15686638,70.6134015,98.99222987,125.4480426,144.2782568
52,55.72480774,71.29349402,101.0211979,148.1739704,177.7181824
53,54.90295688,69.43697447,97.96977689,128.5424061,148.2201432
54,56.35308445,71.94995154,100.9494463,146.5367517,170.0687144
55,54.45255558,70.88490306,98.46848729,140.7843416,181.5338718
56,55.64651333,72.61642224,107.7545832,153.5695158,184.0384988
57,53.63957333,68.15019727,96.75638545,125.4346847,148.2616512
58,55.25428881,69.97225574,99.4612526,130.4633747,141.7535767
59,53.19646436,68.06546315,100.9153983,134.0966884,157.9458442
60,55.35042575,68.3589803,97.94175277,136.01393,165.4189674
61,52.47556251,66.69159412,92.48869473,125.7801974,156.7524587
62,53.17134792,68.39585868,99.86037255,134.2774003,162.573609
63,53.24985946,66.63390947,94.24550182,129.6113933,170.4311993
64,51.42693346,66.31079915,93.74411477,124.7165144,158.5171051
65,53.48821012,67.52340265,95.03333454,131.0205825,152.209435
66,51.35467164,66.94769231,96.79951631,126.1606693,142.659949
67,53.45073482,68.64386927,95.50923225,126.5715802,147.9005836
68,51.28698739,65.66908993,90.92402684,129.5217282,158.4751942
69,52.6860449,68.34363691,94.90870909,129.6419701,155.6402588
70,51.17296024,66.41585726,93.06404905,130.7931181,159.9652264
71,51.32693763,66.94382277,94.48292927,132.742957,156.2812582
72,51.19987029,65.60851959,93.42960359,125.5038919,149.5860266
73,50.51369268,64.63375169,92.76563129,127.3098952,154.2811801
74,50.68362951,65.02921763,90.28776666,129.9703059,143.9339735
75,52.0189953,67.90849923,97.95485235,129.4349293,164.4106756
76,49.57266395,64.89089745,91.88232918,125.047455,139.2138885
