Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,25.58068779,34.88088765,52.27899816,76.60544865,88.83957512
2,36.53303431,51.42338052,72.57099378,102.0229674,117.5394805
3,36.67783907,51.06205803,77.0400153,106.7060687,121.1242278
4,42.13719546,56.13864851,85.061432,113.0943228,135.2434549
5,40.13650174,53.49652499,80.29801639,114.2936588,142.7691315
6,41.77863071,56.66709431,81.94805161,116.993241,138.2932245
7,42.04333798,56.64982191,83.14485858,108.3636231,132.8529661
8,43.81139793,60.13295703,88.68024766,117.7787209,143.7039608
9,42.10157697,55.88974907,80.33619881,109.8092835,124.8693646
10,42.0424082,56.05413339,81.58105491,110.8613087,130.9920674
11,44.84258382,59.2204739,89.15483074,126.2136057,142.893842
12,41.64494182,55.6837164,79.3103005,112.1452171,125.2727786
13,50.55699923,68.95626809,93.18642271,133.8184529,151.1543613
14,51.8623903,68.45122081,92.60593219,115.8436214,122.6537485
15,56.05551619,66.92488856,89.89297864,124.3939651,128.4694773
16,52.0356697,65.55878975,93.89830729,118.5053187,127.0000867
17,52.77623922,65.39449625,103.0215104,160.7078797,165.2825142
18,54.08046973,67.01741715,100.9156432,124.9332818,135.2214801
19,58.1887372,68.85922655,91.66981007,110.9024704,114.7324935
20,51.63464518,67.14229712,94.18775752,124.4057234,137.5159894
21,57.75629957,68.48770117,94.47359325,130.7379927,137.2443409
22,48.51009648,66.34167264,89.76328135,121.9339797,135.6573666
23,56.43642662,67.04712697,90.73557561,123.6458772,144.8317289
24,49.86813589,60.0139574,87.73377547,116.5961811,138.8080737
25,51.86959788,65.38514312,94.68309553,119.1125282,127.8793814
26,49.87715284,67.04922021,91.39487304,114.6265413,129.2205223
27,53.41129484,71.22738996,97.46739835,122.4898154,130.4496712
28,49.73552913,62.91991104,88.34254899,119.4160095,151.350163
29,48.68754047,63.93438287,95.64783284,135.1645746,149.6282282
30,48.57885337,66.42347726,96.09588638,124.3548929,141.8418262
31,47.41137901,60.11283632,87.98713471,113.8350317,131.0455999
32,52.95869889,68.83027888,94.98405988,122.8313097,131.6150441
33,47.28070701,61.31508262,86.29139082,117.155426,130.2525149
34,51.67228117,62.32178599,100.150241,128.4788066,138.0447048
35,47.00967372,58.01852622,84.95273992,111.2963872,126.7866483
36,53.89928512,68.933189,93.96970478,120.0145861,133.7803157
37,46.23718887,60.2699287,86.00751449,115.6654548,132.8268211
38,49.92953072,64.75365088,87.54915515,116.6039394,127.7396974
39,45.08852592,56.16129734,78.32189828,117.4423476,147.6781922
40,48.50037245,64.10107085,96.0572038,141.1258182,165.9049546
41,45.11656638,57.47765008,83.84762848,116.4897349,129.8868871
42,47.71072617,61.77195312,86.23312579,117.0597824,140.7460348
43,47.24543881,57.70143691,83.58711238,117.8432203,127.6099743
44,47.30514103,60.5656862,85.78858894,121.8185495,143.1933196
45,49.72893077,62.56770823,93.6979048,131.3228272,149.9448864
46,43.29296791,56.80158905,81.41295543,113.2853524,132.7226231
47,51.3170149,66.24091563,92.68260534,133.8150584,155.5053028
48,45.55312258,58.03796997,85.42400506,112.8356493,127.9763839
49,47.76681434,60.02345611,82.90402667,107.5797359,126.7251403
50,44.53879093,57.26013602,80.64609829,117.2489626,137.0440772
51,47.43023637,60.07515885,89.61919296,118.6447083,139.5957472
52,44.2001659,57.0857674,83.45586622,115.117084,150.4147887
53,47.76446526,59.9549923,87.20134369,119.5485383,139.323832
54,44.34831791,58.09843581,85.68525028,112.9687589,138.8666883
55,47.61578913,60.80968142,86.29085553,118.1946213,143.5954684
56,46.51345501,59.0623301,82.33808558,112.9948401,136.729799
57,43.65774542,56.57269227,77.75842519,105.1098843,140.3746359
58,45.91026475,57.77936174,83.12802697,116.2609299,129.8030245
59,44.77372616,56.12734786,82.18171636,116.3275532,136.6013245
60,47.81262489,59.54337822,88.50871654,113.4609192,126.4444343
61,51.13236279,65.7352754,99.39928511,137.2706471,142.0916414
62,54.12757656,61.37380843,88.54798889,107.5584264,111.1200139
63,48.71354092,60.2923333,84.19578747,111.0858954,128.3187484
64,49.51306945,61.20419658,88.57573846,111.9508247,115.6148765
65,50.94795243,63.80223007,86.97128444,121.3871999,140.4622277
66,49.79983041,61.28322359,83.1701234,104.1199168,112.3796679
67,46.99216277,63.93385774,89.1366391,113.2111416,129.0996577
68,47.52161444,60.69704366,84.48574012,104.495522,110.665119
69,48.34228232,60.3113105,92.56969779,119.0043962,130.4415115
70,48.69123124,59.18732534,93.06550546,125.4608968,133.7549654
71,45.88545431,58.25570625,83.98232641,115.6899621,140.5414567
72,51.25498715,63.56408039,85.02743028,107.7670079,118.0509369
73,46.70668942,59.31725012,86.85980143,119.9372052,143.0932148
74,48.07696928,60.15606873,88.13654099,129.4042409,139.2403304
75,45.6319431,57.72585489,81.74088897,107.557284,130.6783221
76,49.43417068,61.66404389,88.61925918,109.2673883,133.5845902
77,43.85274694,56.40097521,83.93225645,114.8689365,129.0436895
78,46.14066388,57.18722141,85.47018025,111.714836,150.5558306
79,49.24487132,61.56342626,89.19923782,135.9121837,145.8597667
80,48.00231352,60.24488685,84.34577599,121.5660783,147.1548281
81,51.9076834,63.48197558,91.63519623,127.0592916,138.9292471
82,44.68581495,58.17211655,84.18832485,116.8415694,145.4467733
83,48.686513,61.6159852,85.44637989,114.3918544,139.5992668
84,43.81331612,57.62066843,82.70189155,120.1194116,137.1413802
85,47.83732564,61.81550039,87.32526663,112.5749439,125.9458146
86,45.33526991,57.38282688,82.95228062,120.0726499,137.5496018
87,48.06225787,60.08492468,84.73550263,120.1964826,143.4023599
88,46.36154788,58.77397564,84.30257584,110.7768223,127.2842649
89,46.15178295,59.07668439,86.5441281,117.8367123,137.3832732
90,47.69411144,60.10712628,86.09319323,120.2957738,132.0357361
91,44.28906763,55.35811944,78.94109636,105.3771156,117.7811286
92,45.67731889,57.38893868,84.61368885,114.1325494,127.5002837
93,44.95620696,56.98427274,81.53725283,110.5266856,135.8008664
94,43.91205516,55.45739654,79.75950584,101.9456283,115.6354277
95,44.88479316,57.50296355,83.62427876,115.6658355,130.0310855
96,46.93933849,58.33203499,83.32395876,105.7049801,122.3472472
97,43.21619388,54.60224665,78.51913034,106.3410146,120.6569695
98,47.41032609,60.28291181,83.49461382,110.525769,139.8770138
99,44.55918004,56.80059762,81.07475733,110.4429595,123.3773193
100,46.3898577,58.14359451,85.45839939,118.9388566,136.0658064
101,43.84799712,55.56977907,79.44715547,106.4633172,125.0751917
102,44.77795853,56.63173997,80.37482822,116.0247646,133.2457756
103,44.67245528,56.95738046,81.51012768,112.0657142,126.9060447
104,44.04065026,54.68814129,79.33580277,113.0083439,135.8684526
105,48.0283439,63.03045201,87.9262629,113.092313,142.7917319
106,54.21998511,61.39579142,93.22433325,113.8652463,119.7591004
107,51.2928819,66.22110937,97.52386182,135.5603367,139.3757817
108,48.94350193,58.02250075,77.84193454,103.3275779,107.835537
109,50.02863906,59.59594195,82.9042478,112.4419319,117.5152758
110,49.29895574,63.45940823,89.0665446,112.6594313,125.702933
111,51.53850222,64.20674116,86.80496994,94.90339594,121.9088377
112,51.09770824,64.95424464,90.86285044,124.1617026,148.936992
113,50.47798651,62.12098393,87.36824883,105.7998605,108.731867
114,48.24782153,58.06956198,79.12786832,98.06468092,106.8440038
115,47.35869433,60.07058511,79.92364203,105.3171843,126.0005409
