Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,41.91586031,58.42261613,91.9784937,134.3478409,147.1094028
2,72.81174167,102.2576006,145.431863,184.2084603,192.8642663
3,84.24402266,111.1461532,142.3149581,167.7186976,190.6953096
4,83.17189536,108.9095597,161.8794507,219.7081628,230.3307668
5,81.04046572,110.5603222,147.2873533,166.9914182,171.6388172
6,80.62081353,103.2023853,133.3560508,165.1538256,179.1521109
7,87.51148405,101.3366336,141.1959189,177.6549475,182.7858347
8,85.10936831,109.4728305,141.639409,186.9345522,195.9875397
9,81.9208267,97.15471595,120.0930525,173.8802158,182.1876919
10,82.19832923,101.5014136,144.0966682,177.2683054,222.5739012
11,67.47049944,88.68794403,120.9051105,189.8464334,197.4178757
12,78.3431543,100.3212542,136.9269905,166.0423855,181.4331716
13,80.57425606,98.4318966,147.9438227,176.1107172,186.6772739
14,72.64389702,89.0921411,122.3830536,153.8562764,164.273481
15,81.87437678,103.2388052,130.3174002,162.0668406,188.9235988
16,72.92239646,90.68521481,125.1712893,174.5500717,187.141945
17,80.30883948,98.11830276,135.0734492,189.7921339,201.4461506
18,77.49638889,97.05059548,136.4052312,175.6428001,231.8629903
19,76.51809786,94.41605189,127.4899169,166.8593726,191.8441915
20,73.69098315,87.45508909,119.2951308,146.707461,161.8923256
21,75.02157695,92.84844735,125.6472384,152.5519916,168.5269342
22,76.0948709,92.90119943,123.1268947,167.6815372,221.2954374
23,68.51573291,87.79175998,113.9572929,147.3247954,158.5537224
24,68.44565977,82.05380457,120.1294614,151.1455102,166.2853593
25,69.4475191,88.95230829,119.0944647,157.4434196,164.6702079
26,73.76731085,90.00477246,120.2683313,166.6418462,172.9445973
27,69.43145748,84.07850092,115.7719256,139.3734857,155.5981129
28,72.87183175,89.71016448,114.3955672,168.1393667,186.7858711
29,67.6134873,85.94590078,119.504698,172.7670873,182.8782598
30,70.22335336,88.10119324,116.7641552,151.7710659,169.2483302
31,70.79216739,87.14662732,123.2410055,175.1939679,188.082465
32,70.00926054,85.13333422,116.446039,153.4256296,175.7431861
33,68.58674164,85.42471468,114.046891,146.1722118,186.14054
34,63.21135602,84.75850771,115.435255,150.849325,157.2763652
35,66.07149853,85.65613928,110.794612,134.6634698,140.081443
36,73.90497791,84.32727695,116.4101189,146.5873498,156.1655453
37,64.77265092,92.24921789,119.128478,161.9007368,169.0001473
38,66.39309167,84.05597543,116.8238567,145.5150614,180.4045298
39,65.35297571,82.64712748,122.544556,153.5500215,161.0571329
40,74.42400631,88.87966658,118.1563685,142.8408578,149.3703782
41,65.86870566,83.96317576,115.6898595,150.4491057,177.7976706
42,65.47810732,80.71941987,118.9652294,133.3943936,139.1734728
43,77.17245314,86.52356192,120.8972261,131.8106875,135.1792812
44,68.05741418,81.00066294,116.1508551,160.3176495,166.5404959
45,66.4303091,86.09683458,131.5471203,167.2229019,177.2408336
46,68.43642605,81.73873095,113.1083017,153.5888152,164.2756708
47,67.82851607,84.29605441,108.620842,123.7763017,133.6185633
48,61.41428013,80.24791184,113.5885423,139.4169149,149.159564
49,53.49830813,70.8830154,91.23286596,109.834962,121.9464453
50,67.3777505,90.26107,118.1442148,172.7908877,182.9568564
51,67.32678938,80.67330698,109.2587378,131.9855071,142.6942912
52,65.56138717,81.7557045,110.7533903,145.996167,162.1458985
53,64.3403663,77.67418827,107.350939,155.8155347,164.6721189
54,67.33872292,80.96532457,109.383837,138.7993474,150.2033103
55,68.76777765,81.31952959,114.338971,171.3957559,202.5803356
56,64.37030963,74.48918733,102.6716293,128.5797786,143.6905193
57,65.30195385,77.83984582,107.5189732,141.3764304,168.0585396
58,62.55299321,74.05114812,99.05224712,131.6479315,140.7498199
59,65.54110014,82.94321769,115.874396,146.3006547,169.3074309
60,73.73247115,87.10523695,110.0618883,157.5647971,170.8279531
61,59.70192551,75.15629132,100.5781621,129.3925685,166.3485814
62,64.83391058,79.23378684,104.7415592,132.0292881,148.4711427
63,60.07595824,75.00584585,102.2272913,130.7736188,154.5789894
64,65.33696074,81.66878723,114.1262505,165.3817125,175.0472887
65,60.51307404,72.54779578,97.9549995,115.513213,133.9921766
66,60.27503356,72.76361453,96.61733217,128.8291695,178.3250597
67,61.93463737,75.87182543,108.3874221,142.4759053,164.2924429
68,61.06894013,75.02719362,103.6566769,141.6331162,161.4624898
69,60.45224431,74.8834597,103.4986671,129.6371084,143.6746266
70,59.51548205,73.7022359,102.2685563,121.2352481,134.4647921
71,60.59383072,78.52585367,103.80368,136.2473863,153.807147
72,59.96659012,71.71509512,96.33958068,129.6238937,155.5336372
73,57.64370964,75.20155845,103.5099615,145.6477271,174.7248893
74,57.86579788,73.23370197,100.8226836,138.663983,163.242007
75,57.78109526,73.15199791,96.43015603,128.8388613,140.4033702
76,59.36495124,77.29767906,101.6678801,133.903563,160.0006756
77,57.65047929,74.14100214,95.66174451,120.422536,130.7724573
78,59.55789643,75.72956091,101.0031614,130.6761417,150.7895975
79,57.44503158,71.47242971,96.64072439,132.7393289,146.2390676
80,58.57146441,73.5964173,100.087791,130.4431599,159.0065343
81,59.77441636,73.92830024,104.2045975,127.7166889,135.4717952
82,67.25402267,86.3903527,112.1638806,141.7669686,148.9219037
83,61.66326087,78.19178596,105.9463974,144.0499606,151.0297178
84,62.00316153,82.6085969,107.2546144,122.3508202,135.4098296
85,69.76023253,92.73859468,115.0960196,159.6975971,164.5509463
86,59.66974593,76.32359617,117.0534489,156.0835975,168.3426797
87,61.96215549,77.45874465,107.8022153,139.7851924,169.2296417
88,64.08650311,78.78793802,109.6300358,129.8016389,132.9615323
89,62.85393752,80.64073803,108.6208969,130.59789,161.3803493
90,65.9864372,80.66679726,117.0396567,186.0542299,194.1328476
91,56.84790013,69.01751258,98.40584784,118.2209015,128.5436055
92,55.93399504,73.613415,98.73598443,169.950088,180.5680484
93,58.09771478,75.43369652,95.09742199,118.2414033,135.4429048
94,57.84706563,72.46731939,100.2107519,126.1079671,147.272383
95,58.73593389,75.73848396,109.240961,146.3983773,164.1865865
96,59.15293623,76.065785,98.92806065,127.3439295,151.0087276
97,58.26393797,72.82902619,93.4567685,122.852577,136.7848184
98,59.32898671,70.24282607,106.6239472,128.2013428,154.3884526
99,58.32501419,72.19233327,95.76791855,123.8824364,140.0884542
100,55.62206014,71.0616488,102.846909,144.6411713,157.2075616
101,54.41445689,64.13411697,85.49220522,114.5954043,138.7856816
102,60.21587252,72.88351217,98.8322019,124.8901147,141.6172785
103,59.45881141,69.81444999,96.21767892,125.1491446,136.7365406
104,56.21509707,69.86756188,99.94070475,128.8355151,146.7920727
105,60.23158954,74.10798561,103.4826018,133.8583085,139.8191671
106,58.22603332,72.37276028,97.55201255,131.853215,142.836781
107,61.34631759,72.2963053,91.03596851,122.9605404,137.3423089
108,56.58302023,72.00009482,95.63961853,121.0704338,136.8006259
109,60.92180384,74.32345103,112.9273875,149.5950825,160.9225759
110,55.78614977,69.9280847,99.910808,143.352998,163.8581539
111,61.86594854,73.46585301,91.88992869,138.3342334,148.2456528
112,56.36961653,67.29796415,90.00382054,116.7619783,128.7614082
113,56.33340059,70.76287232,102.1369299,130.2074698,147.307971
114,58.12165912,68.74958014,99.68052613,129.2121385,143.1462051
115,59.4326456,71.55197195,97.26127736,131.9558364,145.4687069
116,57.08214158,68.4949365,94.32844562,117.4845282,128.0000935
117,58.59566412,73.54495775,95.62068235,134.2774505,157.5701724
118,62.30957522,77.06724516,101.676829,124.4590975,148.7676812
119,56.02924718,70.9701183,97.70227539,131.7544462,144.0998848
120,54.40072293,69.48880532,92.48998233,128.3962756,148.6166183
121,52.70294787,68.15548291,95.50181124,127.9313742,153.4129638
122,55.59111839,67.70810156,98.4650695,125.5515258,138.4071561
123,56.49485335,68.80998139,95.27255206,138.0393455,155.6013798
124,56.93162025,72.84047651,100.1212407,134.2898888,156.6077196
125,56.44784546,70.52153912,96.26374006,131.3583922,158.3416737
126,54.21526128,67.2242734,99.23344363,120.3228943,124.2848141
127,54.98676033,74.47766306,103.2539057,132.8259537,144.0997264
128,61.59740634,80.12590747,111.6422573,123.9320962,131.277155
129,53.59145316,71.9526537,91.21501721,123.8379317,131.1410366
130,57.63236296,74.08617524,104.7637279,131.3158663,138.3538658
131,57.59087878,71.35778447,96.22367962,115.864366,131.7976882
132,60.84266687,76.63911583,99.2905459,120.2087048,138.2106225
133,68.10881197,74.52896355,107.9939331,136.4897815,167.0491071
134,55.95265722,64.31158775,87.3152416,120.2811464,131.8319264
135,63.54860141,79.39061687,138.5701742,189.9517256,199.3317437
136,54.70448535,66.94084058,87.5846585,107.6692415,123.3790404
137,63.11348707,79.12616359,106.1227528,142.7126711,147.4441186
138,58.54321145,74.62422804,98.87808789,134.1613254,153.8901757
139,68.51655473,79.03772571,110.686519,127.6423002,158.3646374
140,57.70445298,69.59702649,95.21106589,119.2575745,147.1934764
141,60.23153309,73.40131933,100.1215401,145.5985408,156.1081471
142,57.0978194,67.20135407,97.57973543,135.8481643,147.0606032
143,61.2562604,77.27546767,104.9418315,125.0155832,135.8992262
144,52.73822621,65.40365854,90.72161841,117.4543876,134.3156798
145,58.82620679,71.78041969,91.67528474,121.0718239,152.1653493
146,54.78155055,72.0623137,95.69771962,128.1631226,143.7094121
147,59.69135187,73.79794035,105.6400389,131.4803507,151.666063
148,55.19758286,68.90595729,96.50589766,139.4342717,166.4024402
149,58.18623342,73.54523055,101.2274088,130.6665732,139.5521387
150,55.71751062,70.40576169,87.69647817,114.6372446,128.9718502
